Wavelength (nm),PTB7_PCBM_n,PTB7_PCBM_k
882,1.99051,0.00615
883,1.98997,0.00613
884,1.98944,0.00612
885,1.98891,0.0061
886,1.9884,0.00609
887,1.98789,0.00607
888,1.98738,0.00606
889,1.98689,0.00604
890,1.98641,0.00602
891,1.98594,0.00601
892,1.98548,0.00599
893,1.98502,0.00597
894,1.98458,0.00595
895,1.98416,0.00594
896,1.98374,0.00592
897,1.98334,0.0059
898,1.98295,0.00588
899,1.98257,0.00587
900,1.98221,0.00585
901,1.98187,0.00583
902,1.98153,0.00581
903,1.98122,0.0058
904,1.98091,0.00578
905,1.98063,0.00576
906,1.98036,0.00574
907,1.98011,0.00573
908,1.97988,0.00571
909,1.97966,0.00569
910,1.97946,0.00567
911,1.97929,0.00566
912,1.97913,0.00564
913,1.97899,0.00562
914,1.97887,0.00561
915,1.97877,0.00559
916,1.97869,0.00558
917,1.97864,0.00556
918,1.9786,0.00555
919,1.97859,0.00553
920,1.9786,0.00552
921,1.97863,0.0055
922,1.97867,0.00549
923,1.97872,0.00548
924,1.97877,0.00546
925,1.97882,0.00545
926,1.97886,0.00544
927,1.97888,0.00543
928,1.97889,0.00542
929,1.97887,0.00541
930,1.97882,0.0054
931,1.97874,0.00539
932,1.97862,0.00538
933,1.97845,0.00537
934,1.97824,0.00536
935,1.97797,0.00536
936,1.97763,0.00535
937,1.97724,0.00535
938,1.97677,0.00534
939,1.97624,0.00534
940,1.97565,0.00533
941,1.975,0.00533
942,1.9743,0.00533
943,1.97356,0.00533
944,1.97278,0.00533
945,1.97197,0.00533
946,1.97112,0.00533
947,1.97025,0.00533
948,1.96937,0.00534
949,1.96847,0.00534
950,1.96756,0.00535
951,1.96665,0.00535
952,1.96575,0.00536
953,1.96485,0.00537
954,1.96396,0.00538
955,1.96309,0.00539
956,1.96225,0.0054
957,1.96143,0.00541
958,1.96065,0.00542
959,1.95991,0.00544
960,1.95922,0.00545
961,1.95857,0.00547
962,1.95798,0.00549
963,1.95744,0.0055
964,1.95698,0.00552
965,1.95658,0.00555
966,1.95626,0.00557
967,1.95603,0.00559
968,1.95587,0.00562
969,1.95581,0.00564
970,1.95585,0.00567
971,1.95599,0.0057
972,1.95624,0.00573
973,1.9566,0.00576
974,1.95708,0.00579
975,1.95768,0.00583
976,1.95841,0.00586
977,1.95927,0.0059
978,1.96028,0.00594
979,1.96142,0.00598
980,1.96272,0.00602
981,1.96417,0.00606
982,1.96578,0.00611
983,1.96756,0.00615
984,1.96951,0.0062
985,1.97161,0.00625
986,1.97377,0.0063
987,1.97587,0.00635
988,1.9778,0.00641
989,1.97943,0.00646
990,1.98065,0.00652
991,1.98134,0.00658
992,1.98138,0.00664
993,1.98067,0.0067
994,1.97907,0.00796
995,1.97647,0.00812
996,1.97276,0.00828
997,1.96781,0.00844
998,1.96151,0.00859
999,1.95375,0.00875
1000,1.95268,0.00891
