Wavelength (nm),NiOx_n,NiOx_k
1055,1.89435,0.01523
1056,1.89433,0.01517
1057,1.89431,0.01513
1058,1.89428,0.01511
1059,1.89426,0.01509
1060,1.89423,0.01507
1061,1.89421,0.01506
1062,1.89416,0.01504
1063,1.89409,0.01502
1064,1.89403,0.015
1065,1.89397,0.01499
1066,1.89391,0.01498
1067,1.89385,0.01497
1068,1.89379,0.01497
1069,1.89372,0.01496
1070,1.89366,0.01496
1071,1.8936,0.01495
1072,1.89358,0.01495
1073,1.89358,0.01495
1074,1.89359,0.01495
1075,1.89359,0.01496
1076,1.89359,0.01498
1077,1.89359,0.01499
1078,1.89359,0.01501
1079,1.89359,0.01502
1080,1.89359,0.01504
1081,1.8936,0.01505
1082,1.89358,0.01507
1083,1.89355,0.01506
1084,1.89352,0.01505
1085,1.8935,0.01503
1086,1.89347,0.01502
1087,1.89344,0.015
1088,1.89341,0.01499
1089,1.89338,0.01497
1090,1.89336,0.01496
1091,1.89333,0.01495
1092,1.89331,0.01494
1093,1.8933,0.01493
1094,1.8933,0.01492
1095,1.89329,0.01492
1096,1.89328,0.01491
1097,1.89328,0.0149
1098,1.89327,0.0149
1099,1.89326,0.01489
1100,1.89325,0.01488
