Wavelength (nm),MAPbI3_GQ_n,MAPbI3_GQ_k
1062,2.29,0
1063,2.29,0
1064,2.29,0
1065,2.29,0
1066,2.29,0
1067,2.29,0
1068,2.29,0
1069,2.29,0
1070,2.29,0
1071,2.29,0
1072,2.29,0
1073,2.29,0
1074,2.29,0
1075,2.29,0
1076,2.29,0
1077,2.29,0
1078,2.29,0
1079,2.29,0
1080,2.29,0
1081,2.29,0
1082,2.29,0
1083,2.28,0
1084,2.28,0
1085,2.28,0
1086,2.28,0
1087,2.28,0
1088,2.28,0
1089,2.28,0
1090,2.28,0
1091,2.28,0
1092,2.28,0
1093,2.28,0
1094,2.28,0
1095,2.28,0
1096,2.28,0
1097,2.28,0
1098,2.28,0
1099,2.28,0
1100,2.28,0
1101,2.28,0
1102,2.28,0
1103,2.28,0
1104,2.28,0
1105,2.28,0
1106,2.28,0
1107,2.28,0
1108,2.28,0
1109,2.28,0
1110,2.28,0
1111,2.28,0
1112,2.28,0
1113,2.28,0
1114,2.28,0
1115,2.28,0
1116,2.28,0
1117,2.28,0
1118,2.28,0
1119,2.28,0
1120,2.28,0
1121,2.28,0
1122,2.28,0
1123,2.28,0
1124,2.28,0
1125,2.28,0
1126,2.27,0
1127,2.27,0
1128,2.27,0
1129,2.27,0
1130,2.27,0
1131,2.27,0
1132,2.27,0
1133,2.27,0
1134,2.27,0
1135,2.27,0
1136,2.27,0
1137,2.27,0
1138,2.27,0
1139,2.27,0
1140,2.27,0
1141,2.27,0
1142,2.27,0
1143,2.27,0
1144,2.27,0
1145,2.27,0
1146,2.27,0
1147,2.27,0
1148,2.27,0
1149,2.27,0
1150,2.27,0
1151,2.27,0
1152,2.27,0
1153,2.27,0
1154,2.27,0
1155,2.27,0
1156,2.27,0
1157,2.27,0
1158,2.27,0
1159,2.27,0
1160,2.27,0
1161,2.27,0
1162,2.27,0
1163,2.27,0
1164,2.27,0
1165,2.27,0
1166,2.27,0
1167,2.27,0
1168,2.27,0
1169,2.27,0
1170,2.27,0
1171,2.27,0
1172,2.27,0
1173,2.26,0
1174,2.26,0
1175,2.26,0
1176,2.26,0
1177,2.26,0
1178,2.26,0
1179,2.26,0
1180,2.26,0
1181,2.26,0
1182,2.26,0
1183,2.26,0
1184,2.26,0
1185,2.26,0
1186,2.26,0
1187,2.26,0
1188,2.26,0
1189,2.26,0
1190,2.26,0
1191,2.26,0
1192,2.26,0
1193,2.26,0
1194,2.26,0
1195,2.26,0
1196,2.26,0
1197,2.26,0
1198,2.26,0
1199,2.26,0
1200,2.26,0
